id,lat_lng,latlng,geocode_data,city,country
2402,"{u'lat': 39.7240493, u'lng': -105.0017028}","39.7240493,-105.0017028",,,
2403,"{u'lat': 41.8437578, u'lng': -71.4174816}","41.8437578,-71.4174816",,,
2404,"{u'lat': 35.8991678, u'lng': -78.86364019999999}","35.8991678,-78.8636402",,,
2405,"{u'lat': 39.4195499, u'lng': -76.7802528}","39.4195499,-76.7802528",,,
2406,"{u'lat': 31.046051, u'lng': 34.851612}","31.046051,34.851612",,,
2407,"{u'lat': 33.8137125, u'lng': -85.76135359999999}","33.8137125,-85.7613536",,,
2408,"{u'lat': 41.115791, u'lng': -112.4768287}","41.115791,-112.4768287",,,
2409,"{u'lat': 38.3031837, u'lng': -77.4605399}","38.3031837,-77.4605399",,,
2410,"{u'lat': 23.424076, u'lng': 53.847818}","23.424076,53.847818",,,
2411,"{u'lat': 34.0838307, u'lng': -84.2946273}","34.0838307,-84.2946273",,,
2412,"{u'lat': 32.8930971, u'lng': -79.9245083}","32.8930971,-79.9245083",,,
2413,"{u'lat': 36.8507689, u'lng': -76.28587259999999}","36.8507689,-76.2858726",,,
2414,"{u'lat': 43.5445959, u'lng': -96.73110340000001}","43.5445959,-96.7311034",,,
2415,"{u'lat': 23.885942, u'lng': 45.079162}","23.885942,45.079162",,,
2416,"{u'lat': 34.4358294, u'lng': -119.8276389}","34.4358294,-119.8276389",,,
2417,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2418,"{u'lat': 35.1495343, u'lng': -90.0489801}","35.1495343,-90.0489801",,,
2419,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2420,"{u'lat': 28.5383355, u'lng': -81.3792365}","28.5383355,-81.3792365",,,
2421,"{u'lat': 48.85799300000001, u'lng': 2.381153}","48.857993,2.381153",,,
2422,"{u'lat': 26.640628, u'lng': -81.8723084}","26.640628,-81.8723084",,,
2423,"{u'lat': 33.5206608, u'lng': -86.80248999999999}","33.5206608,-86.80249",,,
2424,"{u'lat': 41.3850477, u'lng': 2.1733131}","41.3850477,2.1733131",,,
2425,"{u'lat': 43.1218286, u'lng': -89.3279189}","43.1218286,-89.3279189",,,
2426,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2427,"{u'lat': 34.0522342, u'lng': -118.2436849}","34.0522342,-118.2436849",,,
2428,"{u'lat': 32.8514845, u'lng': -116.9385756}","32.8514845,-116.9385756",,,
2429,"{u'lat': 33.665242, u'lng': -117.7490656}","33.665242,-117.7490656",,,
2430,"{u'lat': 59.60249579999999, u'lng': 18.1384383}","59.6024958,18.1384383",,,
2431,"{u'lat': 38.8048355, u'lng': -77.0469214}","38.8048355,-77.0469214",,,
